,Czechia,Poland,France,Netherlands,Slovakia,Romania,Spain,Croatia,Greece,Portugal,Italy,United Kingdom,Belgium,Germany,Finland,Bulgaria,Ireland,Hungary,Sweden,Malta,Austria,Slovenia,Latvia,Cyprus,Luxembourg,Lithuania,Estonia,Denmark,
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3444444444444591,0.0,0.0,0.9682539682539888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.9732304900181489,1.0,0.0,0.5319940476190476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.048640345886904086,0.00031368565709676346,0.17525666144200577,1.0,0.0,0.009285796171041971,0.942727347414334,0.0,0.0006538048907834497,0.0,0.8238476866751541,0.18575006237735261,0.17796569127125506,0.0,0.0,0.01816422741345328,0.0,0.7695097277870038,0.00025600182045737533,0.0002727480535313503,0.0,0.09584819991180667,0.0,0.0,0.00027560405409189685,0.4300112253968699,0.02021063076667303,0.0,0.0
3,2.4082290893375625e-17,0.16546851099576226,0.13821763651985783,6.10832744089316e-05,0.06902233115468412,0.0004978213845851175,0.3907210456593112,0.0,6.222767307315208e-05,0.0,0.4579433713867072,0.00065841554500497,0.9586147377841351,0.23347571614658297,0.14325877421449193,0.0007341269841269859,0.029391251450074984,2.453137065034512e-17,0.7230231448681244,6.870172311348977e-05,0.12621719054733982,0.011790229559837412,0.0,0.0,0.1676459447415327,1.0,0.0007408313401464106,0.0,0.0
4,0.000119585631818894,0.22697803446583042,0.8138770421114218,0.3906349329256827,0.39387163664291447,0.598472724499185,0.6824602408733101,0.033222821002213965,0.30364916093355543,0.31546157201303726,0.5299508661637103,0.6246748127733801,0.5740697980538008,0.9072996659761341,0.009253976019441161,0.023335693783916617,0.05321329074959466,0.10926257835484517,1.0,0.0,0.16364475843337592,0.16600837459903195,0.0,0.20597114810280615,0.022151250121069905,0.1461533920831164,0.40736695659869954,0.0001625050572675902,0.0
5,0.3471307145656253,0.0,0.009907608346534801,0.004672387432316913,0.242811476576884,0.0009872376700506352,1.0,0.0,0.004041429893030687,0.14882125747147895,0.0,0.8789422312961598,0.3803327902454986,0.002820028514669894,0.004322084746713348,0.19850881450543326,0.002764265476141802,0.0,0.000995785182345426,0.2788586626191174,0.0,0.005388573190707582,0.0,0.7298270498941161,0.20142373851244397,0.0,0.0,0.21791050281610344,0.0
6,0.372332342334767,0.05191226422174331,0.2593445987701065,0.1402896673020845,0.0042521160290058795,0.1420000054904987,0.21556695135505774,0.0,0.0013293728054947454,0.3627268758960472,0.6294610794689789,0.0,1.0,0.27626000690391844,0.07097963337780468,0.01416762038830031,0.00182875833483949,0.006490725984550941,0.0,0.0,0.3001878925328227,0.0,0.0,6.09986758494591e-05,0.11254255694224775,0.09453122212328001,0.00033882063126311024,0.0,0.0
7,1.0,0.30290875785676485,0.7178330339774898,0.32035463030954753,0.7082817082068958,0.29103553422625084,0.5094533042337513,0.04628559125033947,0.41793194363618175,0.07085051681675011,0.7417086188855547,0.0,0.6591431754341617,0.3161683859460054,0.019302974761275227,0.05269409006430811,0.001981102676518014,0.6757626471374361,0.471449571858751,0.04810902290349125,0.0004164588022620512,0.07932885730434891,0.0,0.22975388026884644,0.006398214499143871,0.04465036341649783,0.03464580133977914,0.07752080267910379,0.0
8,0.23073192129798237,0.00016499682025437459,0.04361139539216396,0.08155922322577742,0.6456035757407488,1.0,0.026046849019587013,0.07652407157011737,0.4200893821642403,0.04283221212634017,0.7981506329987186,0.0,0.5610102240885482,0.4043639933188865,0.4859909384698426,0.28761956585495224,0.04284700790336008,0.0001521865081228137,0.07418427344418335,0.0,0.006015078237411005,0.0,0.0,0.563382260384189,0.0,0.05989436112948067,0.0,0.058466258958178204,0.0
9,0.5233571103091892,0.1831908549224772,0.4916318141830223,0.1040385367902631,0.538482721148262,0.9661369261547355,0.5233669177004421,0.0019277352705195376,0.0020293452433215744,0.03785490468851767,1.0,0.0,0.47396005471566754,0.409822907001871,0.2004137657811607,0.023421412915603443,0.0,0.0019775617201285636,0.25155587680960817,0.0,0.06288116920990795,0.5446385100408446,0.0,0.0019035252745621767,0.10982372362151875,0.0,0.0,0.0,0.0
