epgroup_name,epgroup_abbr,person_official_id,person_name,membership_type,start_date,end_date
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197435,Gabriele BISCHOFF,Vice-Chair,2021-12-16,
Group of the Greens/European Free Alliance,Greens/EFA,197512,Benoît BITEAU,Member,2019-07-02,
Identity and Democracy Group,ID,97198,Mara BIZZOTTO,Member,2019-07-02,2022-10-12
Group of the European United Left,GUE/NGL,124992,Malin BJÖRK,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,124992,Malin BJÖRK,Member,2020-12-18,
Group of the European People's Party,EPP,197637,Vasile BLAGA,Member,2019-07-02,
Identity and Democracy Group,ID,197564,Hynek BLAŠKO,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,96681,Vilija BLINKEVIČIŪTĖ,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197449,Michael BLOSS,Member,2019-07-02,
Group of the European People's Party,EPP,124712,Andrea BOCSKOR,Member,2019-07-02,2021-03-04
Non-attached Members,NI,124712,Andrea BOCSKOR,Member,2021-03-05,
Group of the Greens/European Free Alliance,Greens/EFA,197439,Damian BOESELAGER,Member,2019-07-02,
Group of the European People's Party,EPP,197636,Ioan-Rareş BOGDAN,Member,2019-07-02,
Group of the European People's Party,EPP,125004,Franc BOGOVIČ,Member,2019-07-02,
Group of the European United Left,GUE/NGL,197521,Manuel BOMPARD,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197521,Manuel BOMPARD,Member,2020-12-18,2022-07-28
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124814,Simona BONAFÈ,Vice-Chair,2019-07-02,2022-10-12
Identity and Democracy Group,ID,197788,Anna BONFRISCO,Member,2019-07-02,
Identity and Democracy Group,ID,101039,Paolo BORCHIA,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,112748,Biljana BORZAN,Vice-Chair,2019-07-02,
Group of the European United Left,GUE/NGL,187917,Marc BOTENGA,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,187917,Marc BOTENGA,Member,2020-12-18,
Renew Europe Group,RE,197668,Vlad-Marius BOTOŞ,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,197467,Geert BOURGEOIS,Member of the Bureau,2019-07-02,
Renew Europe Group,RE,197577,Gilles BOYER,Member,2019-07-02,
Group of the European People's Party,EPP,226260,Karolin BRAUNSBERGER-REINHOLD,Member,2021-10-14,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,28346,Mercedes BRESSO,Member,2023-04-06,
Group of the Greens/European Free Alliance,Greens/EFA,197431,Patrick BREYER,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197446,Milan BRGLEZ,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197470,Saskia BRICMONT,Member,2019-07-02,
Renew Europe Group,RE,197716,Jane BROPHY,Member,2019-07-02,2020-01-31
European Conservatives and Reformists Group,ECR,197501,Joachim Stanisław BRUDZIŃSKI,Member,2019-07-02,
Identity and Democracy Group,ID,182995,Annika BRUNA,Member,2019-07-02,
Renew Europe Group,RE,197576,Sylvie BRUNET,Vice-Chair,2019-07-02,2021-10-18
Renew Europe Group,RE,197576,Sylvie BRUNET,Member,2021-10-19,
Identity and Democracy Group,ID,128483,Markus BUCHHEIT,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,124818,Klaus BUCHNER,Member,2019-07-02,2020-07-15
Group of the European People's Party,EPP,125012,Daniel BUDA,Member,2019-07-02,
Non-attached Members,NI,197715,David BULL,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,4267,Udo BULLMANN,Member,2019-07-02,
Non-attached Members,NI,188733,Jonathan BULLOCK,Member,2019-07-02,2020-01-31
Renew Europe Group,RE,197739,Judith BUNTING,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197440,Delara BURKHARDT,Member,2019-07-02,
Group of the European United Left,GUE/NGL,197434,Martin BUSCHMANN,Member,2019-07-02,2020-01-28
Non-attached Members,NI,197434,Martin BUSCHMANN,Member,2020-01-29,
Group of the European People's Party,EPP,38420,Cristian-Silviu BUŞOI,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,96739,Reinhard BÜTIKOFER,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,197829,Jorge BUXADÉ VILLALBA,Member of the Bureau,2019-07-02,
Group of the European People's Party,EPP,28269,Jerzy BUZEK,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197617,Carlo CALENDA,Member,2019-07-02,2021-11-16
Renew Europe Group,RE,197617,Carlo CALENDA,Member,2021-11-17,2022-10-12
Identity and Democracy Group,ID,35016,Marco CAMPOMENOSI,Member,2019-07-02,
Renew Europe Group,RE,126644,Jordi CAÑAS,Member,2019-07-02,2022-09-12
Renew Europe Group,RE,126644,Jordi CAÑAS,Vice-Chair,2022-09-13,
Renew Europe Group,RE,96711,Pascal CANFIN,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197574,Damien CARÊME,Member,2019-07-02,
Identity and Democracy Group,ID,197797,Andrea CAROPPO,Member,2019-07-02,2020-10-06
Non-attached Members,NI,197797,Andrea CAROPPO,Member,2020-10-07,2021-04-28
Group of the European People's Party,EPP,197797,Andrea CAROPPO,Member,2021-04-29,2022-10-12
Group of the European United Left,GUE/NGL,124986,Matt CARTHY,Member,2019-07-02,2020-02-07
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,199996,Isabel CARVALHAIS,Member,2019-09-03,
Group of the European People's Party,EPP,96867,Maria da Graça CARVALHO,Member,2019-07-02,
Group of the European People's Party,EPP,28122,David CASA,Member,2019-07-02,
Identity and Democracy Group,ID,197796,Massimo CASANOVA,Member,2019-07-02,
Group of the European People's Party,EPP,28219,Daniel CASPARY,Member,2019-07-02,
Non-attached Members,NI,124812,Fabio Massimo CASTALDO,Member,2019-07-02,
Group of the European People's Party,EPP,28390,Pilar del CASTILLO VERA,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,86793,Anna CAVAZZINI,Member,2019-07-02,
Identity and Democracy Group,ID,197786,Susanna CECCARDI,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197641,Sara CERDAS,Member,2019-07-02,
Renew Europe Group,RE,197505,Catherine CHABAUD,Member,2019-07-02,
Identity and Democracy Group,ID,236052,Patricia CHAGNON,Member,2022-07-29,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197782,Mohammed CHAHIM,Member,2019-07-02,2021-12-15
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197782,Mohammed CHAHIM,Vice-Chair,2021-12-16,
Group of the European United Left,GUE/NGL,197529,Leila CHAIBI,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197529,Leila CHAIBI,Member,2020-12-18,
Renew Europe Group,RE,124708,Dita CHARANZOVÁ,Member,2019-07-02,
Renew Europe Group,RE,197463,Olivier CHASTEL,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124861,Caterina CHINNICI,Member,2019-07-02,2023-05-10
Group of the European People's Party,EPP,124861,Caterina CHINNICI,Member,2023-05-11,
Group of the Greens/European Free Alliance,Greens/EFA,197714,Ellie CHOWNS,Member,2019-07-02,2020-01-31
Renew Europe Group,RE,197558,Asger CHRISTENSEN,Member,2019-07-02,
Group of the European People's Party,EPP,26837,Lefteris CHRISTOFOROU,Member,2019-07-02,2022-11-01
Renew Europe Group,RE,204416,Ilana CICUREL,Member,2020-02-01,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197507,Włodzimierz CIMOSZEWICZ,Member,2019-07-02,
Identity and Democracy Group,ID,183793,Angelo CIOCCA,Member,2019-07-02,
Renew Europe Group,RE,197631,Dacian CIOLOŞ,Chair,2019-07-02,2021-10-18
Renew Europe Group,RE,197631,Dacian CIOLOŞ,Member,2021-10-19,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197657,Tudor CIUHODARU,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197761,Miroslav ČÍŽ,Member,2019-07-02,2022-12-29
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,245018,Christophe CLERGEAU,Member,2023-06-02,
Group of the European People's Party,EPP,124988,Deirdre CLUNE,Member,2020-02-01,
Group of the European People's Party,EPP,1892,Carlos COELHO,Member,2023-07-07,
Group of the European People's Party,EPP,197536,Nathalie COLIN-OESTERLÉ,Member,2019-07-02,
Group of the European People's Party,EPP,247737,Ana COLLADO JIMÉNEZ,Member,2023-09-06,
Identity and Democracy Group,ID,197683,Gilbert COLLARD,Member,2019-07-02,2022-01-24
Non-attached Members,NI,197683,Gilbert COLLARD,Member,2022-01-25,
Group of the European People's Party,EPP,96775,Lara COMI,Member,2022-11-02,
Non-attached Members,NI,202352,Antoni COMÍN I OLIVERES,Member,2019-07-02,
Identity and Democracy Group,ID,197616,Rosanna CONTE,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,2309,Richard CORBETT,Member,2019-07-02,2020-01-31
Group of the Greens/European Free Alliance,Greens/EFA,197503,David CORMAND,Member,2019-07-02,
Non-attached Members,NI,124856,Ignazio CORRAO,Member,2019-07-02,2020-12-08
Group of the Greens/European Free Alliance,Greens/EFA,124856,Ignazio CORRAO,Member,2020-12-09,
