,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
349561,1000717,2021-05-04,124936,Maria ARENA,Belgium,S&D,Socialist Party
349562,999940,2021-05-04,197404,Jessica POLFJÄRD,Sweden,EPP,Moderate Party
349563,1001565,2021-05-04,197607,Pietro FIOCCHI,Italy,ECR,Brothers of Italy
349564,1001565,2021-05-04,197483,Sylvia LIMMER,Germany,ID,Alternative for Germany
349565,1001773,2021-05-04,197521,Manuel BOMPARD,France,GUE/NGL,Unbowed France
349566,1001627,2021-05-04,197607,Pietro FIOCCHI,Italy,ECR,Brothers of Italy
349567,1001627,2021-05-04,197483,Sylvia LIMMER,Germany,ID,Alternative for Germany
349568,1000963,2021-05-04,94649,Catherine GRISET,France,ID,National Rally
349569,1000963,2021-05-04,124765,Joëlle MÉLIN,France,ID,National Rally
349570,1000963,2021-05-04,197680,Aurelia BEIGNEUX,France,ID,National Rally
349571,1000963,2021-05-04,182995,Annika BRUNA,France,ID,National Rally
349572,1001400,2021-05-04,58766,Nicolae ŞTEFĂNUȚĂ,Romania,RE,Save Romania Party
349573,1000262,2021-05-04,197784,Susana SOLÍS PÉREZ,Spain,RE,Citizens - Party of the Citizenry
349574,1000262,2021-05-04,214839,Emma WIESNER,Sweden,RE,Centre Party
349575,1000262,2021-05-04,197443,Andreas GLÜCK,Germany,RE,Free Democratic Party
349576,1001775,2021-05-04,94649,Catherine GRISET,France,ID,National Rally
349577,1001775,2021-05-04,124765,Joëlle MÉLIN,France,ID,National Rally
349578,1001775,2021-05-04,197680,Aurelia BEIGNEUX,France,ID,National Rally
349579,1001775,2021-05-04,197483,Sylvia LIMMER,Germany,ID,Alternative for Germany
349580,1001775,2021-05-04,182995,Annika BRUNA,France,ID,National Rally
349581,1001363,2021-05-04,197521,Manuel BOMPARD,France,GUE/NGL,Unbowed France
349582,1000847,2021-05-04,124936,Maria ARENA,Belgium,S&D,Socialist Party
349583,999172,2021-05-04,197805,Silvia MODIG,Finland,GUE/NGL,Left Alliance
349584,999172,2021-05-04,197521,Manuel BOMPARD,France,GUE/NGL,Unbowed France
349585,1002462,2021-05-04,197805,Silvia MODIG,Finland,GUE/NGL,Left Alliance
349586,1002462,2021-05-04,197521,Manuel BOMPARD,France,GUE/NGL,Unbowed France
349587,999617,2021-05-04,197805,Silvia MODIG,Finland,GUE/NGL,Left Alliance
349588,999617,2021-05-04,197521,Manuel BOMPARD,France,GUE/NGL,Unbowed France
349589,999275,2021-05-04,197805,Silvia MODIG,Finland,GUE/NGL,Left Alliance
349590,999275,2021-05-04,197521,Manuel BOMPARD,France,GUE/NGL,Unbowed France
349591,999696,2021-05-04,197404,Jessica POLFJÄRD,Sweden,EPP,Moderate Party
349592,1001099,2021-05-04,124936,Maria ARENA,Belgium,S&D,Socialist Party
349593,999259,2021-05-04,197483,Sylvia LIMMER,Germany,ID,Alternative for Germany
349594,999259,2021-05-04,197607,Pietro FIOCCHI,Italy,ECR,Brothers of Italy
349595,1001139,2021-05-04,197517,Adam JARUBAS,Poland,EPP,Polish People's Party
349596,1000099,2021-05-04,208722,Sara MATTHIEU,Belgium,Greens/EFA,Green
349597,1000099,2021-05-04,124936,Maria ARENA,Belgium,S&D,Socialist Party
349598,1000099,2021-05-04,124704,Stanislav POLČÁK,Czechia,EPP,Mayors and Independents
349599,1001524,2021-05-04,197404,Jessica POLFJÄRD,Sweden,EPP,Moderate Party
349600,1001123,2021-05-04,197784,Susana SOLÍS PÉREZ,Spain,RE,Citizens - Party of the Citizenry
349601,1001123,2021-05-04,197443,Andreas GLÜCK,Germany,RE,Free Democratic Party
349602,1000111,2021-05-04,197607,Pietro FIOCCHI,Italy,ECR,Brothers of Italy
349603,1001679,2021-05-04,197521,Manuel BOMPARD,France,GUE/NGL,Unbowed France
349604,1002078,2021-05-04,197408,Hildegard BENTELE,Germany,EPP,Christian Democratic Union
349605,999064,2021-05-04,197805,Silvia MODIG,Finland,GUE/NGL,Left Alliance
349606,999064,2021-05-04,197521,Manuel BOMPARD,France,GUE/NGL,Unbowed France
349607,1001747,2021-05-04,197404,Jessica POLFJÄRD,Sweden,EPP,Moderate Party
349608,1001663,2021-05-04,197657,Tudor CIUHODARU,Romania,S&D,Social Democratic Party
349609,1000087,2021-05-04,197770,Martin HOJSÍK,Slovakia,RE,Progressive Slovakia
