,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
626,882780,2019-09-06,125128,Iskra MIHAYLOVA,Bulgaria,RE,Movement for Rights and Freedoms
627,887244,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
628,895983,2019-09-06,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
629,880985,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
630,888430,2019-09-06,28340,Patrizia TOIA,Italy,S&D,Democratic Party
631,896171,2019-09-06,197802,Ville NIINISTÖ,Finland,Greens/EFA,Green League
632,881048,2019-09-06,125128,Iskra MIHAYLOVA,Bulgaria,RE,Movement for Rights and Freedoms
633,891234,2019-09-06,197754,Sandra PEREIRA,Portugal,GUE/NGL,Democratic Unitarian Coalition
634,896097,2019-09-06,24922,Pascal ARIMONT,Belgium,EPP,Christian Social Party
635,882313,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
636,888230,2019-09-06,197754,Sandra PEREIRA,Portugal,GUE/NGL,Democratic Unitarian Coalition
637,887448,2019-09-06,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
638,896058,2019-09-06,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
639,896058,2019-09-06,197588,Katalin CSEH,Hungary,RE,Momentum Movement
640,896058,2019-09-06,96922,Izaskun BILBAO BARANDICA,Spain,RE,Basque National Party
641,896058,2019-09-06,197452,Klemen GROŠELJ,Slovenia,RE,List of Marjan Å arec 
642,896058,2019-09-06,197624,Ivars IJABS,Latvia,RE,Movement For!
643,896058,2019-09-06,197557,Christophe GRUDLER,France,RE,The Republic Forward
644,896058,2019-09-06,197784,Susana SOLÍS PÉREZ,Spain,RE,Citizens - Party of the Citizenry
645,896058,2019-09-06,197739,Judith BUNTING,United Kingdom,RE,Liberal Democrats
646,882303,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
647,887231,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
648,892687,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
649,883104,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
650,887148,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
651,892672,2019-09-06,197754,Sandra PEREIRA,Portugal,GUE/NGL,Democratic Unitarian Coalition
652,884134,2019-09-06,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
653,889112,2019-09-06,197802,Ville NIINISTÖ,Finland,Greens/EFA,Green League
654,891857,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
655,894211,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
656,884065,2019-09-06,197416,Giorgos GEORGIOU,Cyprus,GUE/NGL,Progressive Party of Working People
657,884065,2019-09-06,96820,Marisa MATIAS,Portugal,GUE/NGL,Left Bloc
658,884065,2019-09-06,187917,Marc BOTENGA,Belgium,GUE/NGL,Worker's Party of Belgium
659,884065,2019-09-06,197681,Sira REGO,Spain,GUE/NGL,United Left
660,884065,2019-09-06,197699,Elena KOUNTOURA,Greece,GUE/NGL,Coalition of the Radical Left
661,891003,2019-09-06,125670,Massimiliano SALINI,Italy,EPP,Forza Italia
662,891003,2019-09-06,96713,Evžen TOŠENOVSKÝ,Czechia,ECR,Civic Democratic Party
663,891003,2019-09-06,2187,Antonio TAJANI,Italy,EPP,Forza Italia
664,879848,2019-09-06,96713,Evžen TOŠENOVSKÝ,Czechia,ECR,Civic Democratic Party
665,879848,2019-09-06,124891,Zdzisław KRASNODĘBSKI,Poland,ECR,Independent
666,885182,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
667,890991,2019-09-06,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
668,879968,2019-09-06,24922,Pascal ARIMONT,Belgium,EPP,Christian Social Party
669,885169,2019-09-06,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
670,891973,2019-09-06,197416,Giorgos GEORGIOU,Cyprus,GUE/NGL,Progressive Party of Working People
671,891973,2019-09-06,96820,Marisa MATIAS,Portugal,GUE/NGL,Left Bloc
672,891973,2019-09-06,187917,Marc BOTENGA,Belgium,GUE/NGL,Worker's Party of Belgium
673,891973,2019-09-06,197681,Sira REGO,Spain,GUE/NGL,United Left
674,891973,2019-09-06,197699,Elena KOUNTOURA,Greece,GUE/NGL,Coalition of the Radical Left
675,883522,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
676,888362,2019-09-06,197802,Ville NIINISTÖ,Finland,Greens/EFA,Green League
677,884110,2019-09-06,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
678,891892,2019-09-06,24922,Pascal ARIMONT,Belgium,EPP,Christian Social Party
679,882227,2019-09-06,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
680,893161,2019-09-06,28269,Jerzy BUZEK,Poland,EPP,Civic Platform
681,893161,2019-09-06,37324,Adina-Ioana VĂLEAN,Romania,EPP,National Liberal Party
682,893161,2019-09-06,28226,Christian EHLER,Germany,EPP,Christian Democratic Union
683,896388,2019-09-06,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
684,896388,2019-09-06,197588,Katalin CSEH,Hungary,RE,Momentum Movement
685,896388,2019-09-06,96922,Izaskun BILBAO BARANDICA,Spain,RE,Basque National Party
686,896388,2019-09-06,197452,Klemen GROŠELJ,Slovenia,RE,List of Marjan Å arec 
687,896388,2019-09-06,197624,Ivars IJABS,Latvia,RE,Movement For!
688,896388,2019-09-06,197557,Christophe GRUDLER,France,RE,The Republic Forward
689,896388,2019-09-06,197784,Susana SOLÍS PÉREZ,Spain,RE,Citizens - Party of the Citizenry
690,896388,2019-09-06,197739,Judith BUNTING,United Kingdom,RE,Liberal Democrats
691,882336,2019-09-06,197416,Giorgos GEORGIOU,Cyprus,GUE/NGL,Progressive Party of Working People
692,882336,2019-09-06,96820,Marisa MATIAS,Portugal,GUE/NGL,Left Bloc
693,882336,2019-09-06,187917,Marc BOTENGA,Belgium,GUE/NGL,Worker's Party of Belgium
694,882336,2019-09-06,197681,Sira REGO,Spain,GUE/NGL,United Left
