,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
727164,1140546,2022-07-01,124973,Gerolf ANNEMANS,Belgium,ID,Flemish Interest
727165,1140546,2022-07-01,197787,Antonio Maria RINALDI,Italy,ID,League
727166,1140546,2022-07-01,132191,Gunnar BECK,Germany,ID,Alternative for Germany
727167,1140546,2022-07-01,197594,Laura HUHTASAARI,Finland,ID,Finns Party
727168,1141195,2022-07-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
727169,1141195,2022-07-01,132191,Gunnar BECK,Germany,ID,Alternative for Germany
727170,1135029,2022-07-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
727171,1135029,2022-07-01,132191,Gunnar BECK,Germany,ID,Alternative for Germany
727172,1140525,2022-07-01,135511,Valérie HAYER,France,RE,The Republic Forward
727173,1140525,2022-07-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
727174,1141179,2022-07-01,197503,David CORMAND,France,Greens/EFA,Europe Ecology
727175,1138862,2022-07-01,197503,David CORMAND,France,Greens/EFA,Europe Ecology
727176,1141164,2022-07-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
727177,1141164,2022-07-01,132191,Gunnar BECK,Germany,ID,Alternative for Germany
727178,1138355,2022-07-01,135511,Valérie HAYER,France,RE,The Republic Forward
727179,1138355,2022-07-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
727180,1140123,2022-07-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
727181,1140123,2022-07-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
727182,1140123,2022-07-01,96991,Eider GARDIAZABAL RUBIAL,Spain,S&D,Spanish Socialist Workers' Party
727183,1136701,2022-07-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
727184,1136701,2022-07-01,132191,Gunnar BECK,Germany,ID,Alternative for Germany
727185,1139004,2022-07-01,88882,Victor NEGRESCU,Romania,S&D,Social Democratic Party
727186,1141247,2022-07-01,197503,David CORMAND,France,Greens/EFA,Europe Ecology
727187,1137842,2022-07-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
727188,1137842,2022-07-01,132191,Gunnar BECK,Germany,ID,Alternative for Germany
727189,1135212,2022-07-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
727190,1135212,2022-07-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
727191,1135212,2022-07-01,96991,Eider GARDIAZABAL RUBIAL,Spain,S&D,Spanish Socialist Workers' Party
727192,1139374,2022-07-01,124714,Andor DELI,Hungary,NI,Fidesz - Hungarian Civic Alliance
727193,1139374,2022-07-01,23816,András GYÜRK,Hungary,NI,Fidesz - Hungarian Civic Alliance
727194,1139374,2022-07-01,96826,Tamás DEUTSCH,Hungary,NI,Fidesz - Hungarian Civic Alliance
