,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
218820,953952,2020-11-03,197720,Frances FITZGERALD,Ireland,EPP,Fine Gael
218821,955122,2020-11-03,197581,Stéphanie YON-COURTIN,France,RE,The Republic Forward
218822,954637,2020-11-03,118949,Ondřej KOVAŘÍK,Czechia,RE,ANO 2011
218823,954805,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218824,953972,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218825,953972,2020-11-03,125020,Paul TANG,Netherlands,S&D,Labour Party
218826,953972,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218827,954802,2020-11-03,197818,Billy KELLEHER,Ireland,RE,Fianna FÃ¡il
218828,954631,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218829,953965,2020-11-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
218830,953890,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218831,953890,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218832,953890,2020-11-03,202073,Marc ANGEL,Luxembourg,S&D,Luxembourg Socialist Worker's Party
218833,954654,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218834,954191,2020-11-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
218835,953888,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218836,953888,2020-11-03,125020,Paul TANG,Netherlands,S&D,Labour Party
218837,953888,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218838,953888,2020-11-03,202073,Marc ANGEL,Luxembourg,S&D,Luxembourg Socialist Worker's Party
218839,954627,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218840,954190,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218841,955243,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218842,954839,2020-11-03,124780,Marco ZANNI,Italy,ID,League
218843,954839,2020-11-03,197822,Francesca DONATO,Italy,ID,League
218844,954839,2020-11-03,197799,Valentino GRANT,Italy,ID,League
218845,954839,2020-11-03,197787,Antonio Maria RINALDI,Italy,ID,League
218846,954864,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218847,954883,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218848,954883,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218849,954883,2020-11-03,202073,Marc ANGEL,Luxembourg,S&D,Luxembourg Socialist Worker's Party
218850,954645,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218851,954645,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218852,954645,2020-11-03,202073,Marc ANGEL,Luxembourg,S&D,Luxembourg Socialist Worker's Party
218853,955261,2020-11-03,124780,Marco ZANNI,Italy,ID,League
218854,955261,2020-11-03,197822,Francesca DONATO,Italy,ID,League
218855,955261,2020-11-03,197799,Valentino GRANT,Italy,ID,League
218856,955261,2020-11-03,197787,Antonio Maria RINALDI,Italy,ID,League
218857,954827,2020-11-03,124780,Marco ZANNI,Italy,ID,League
218858,954827,2020-11-03,197822,Francesca DONATO,Italy,ID,League
218859,954827,2020-11-03,197799,Valentino GRANT,Italy,ID,League
218860,954827,2020-11-03,197787,Antonio Maria RINALDI,Italy,ID,League
218861,954181,2020-11-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
218862,954525,2020-11-03,96830,Enikő GYŐRI,Hungary,NI,Fidesz - Hungarian Civic Alliance
218863,954525,2020-11-03,197679,Isabel BENJUMEA BENJUMEA,Spain,EPP,People's Party
218864,954543,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218865,954096,2020-11-03,4246,Othmar KARAS,Austria,EPP,Austrian People's Party
218866,954916,2020-11-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
218867,954410,2020-11-03,124780,Marco ZANNI,Italy,ID,League
218868,954410,2020-11-03,197822,Francesca DONATO,Italy,ID,League
218869,954410,2020-11-03,197799,Valentino GRANT,Italy,ID,League
218870,954410,2020-11-03,197787,Antonio Maria RINALDI,Italy,ID,League
218871,954906,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218872,953847,2020-11-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
218873,954450,2020-11-03,1917,Markus FERBER,Germany,EPP,Christian Social Union in Bavaria
218874,955124,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218875,953841,2020-11-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
218876,954448,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218877,953892,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218878,953892,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218879,953892,2020-11-03,202073,Marc ANGEL,Luxembourg,S&D,Luxembourg Socialist Worker's Party
218880,954656,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218881,954109,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218882,953934,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218883,953934,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218884,953934,2020-11-03,202073,Marc ANGEL,Luxembourg,S&D,Luxembourg Socialist Worker's Party
218885,954643,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218886,954643,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218887,954911,2020-11-03,118949,Ondřej KOVAŘÍK,Czechia,RE,ANO 2011
218888,954100,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218889,954100,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218890,954913,2020-11-03,125046,Jonás FERNÁNDEZ,Spain,S&D,Spanish Socialist Workers' Party
218891,954286,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218892,954286,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218893,954126,2020-11-03,96830,Enikő GYŐRI,Hungary,NI,Fidesz - Hungarian Civic Alliance
218894,954126,2020-11-03,197679,Isabel BENJUMEA BENJUMEA,Spain,EPP,People's Party
218895,953852,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218896,953852,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218897,953852,2020-11-03,202073,Marc ANGEL,Luxembourg,S&D,Luxembourg Socialist Worker's Party
218898,954117,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218899,955014,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218900,955013,2020-11-03,1917,Markus FERBER,Germany,EPP,Christian Social Union in Bavaria
218901,953869,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218902,953869,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218903,954453,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218904,953867,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218905,953867,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218906,953867,2020-11-03,202073,Marc ANGEL,Luxembourg,S&D,Luxembourg Socialist Worker's Party
218907,954374,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218908,955264,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218909,953862,2020-11-03,124812,Fabio Massimo CASTALDO,Italy,NI,Five Star Movement
218910,954363,2020-11-03,124780,Marco ZANNI,Italy,ID,League
218911,954363,2020-11-03,197822,Francesca DONATO,Italy,ID,League
218912,954363,2020-11-03,197799,Valentino GRANT,Italy,ID,League
218913,954363,2020-11-03,197787,Antonio Maria RINALDI,Italy,ID,League
218914,955284,2020-11-03,4246,Othmar KARAS,Austria,EPP,Austrian People's Party
218915,954362,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218916,954744,2020-11-03,2187,Antonio TAJANI,Italy,EPP,Forza Italia
218917,954744,2020-11-03,96787,Herbert DORFMANN,Italy,EPP,South Tyrolean People's Party
218918,954744,2020-11-03,124828,Fulvio MARTUSCIELLO,Italy,EPP,Forza Italia
218919,955280,2020-11-03,1917,Markus FERBER,Germany,EPP,Christian Social Union in Bavaria
218920,954763,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218921,954763,2020-11-03,125046,Jonás FERNÁNDEZ,Spain,S&D,Spanish Socialist Workers' Party
218922,954763,2020-11-03,125020,Paul TANG,Netherlands,S&D,Labour Party
218923,954763,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218924,954763,2020-11-03,202073,Marc ANGEL,Luxembourg,S&D,Luxembourg Socialist Worker's Party
218925,953912,2020-11-03,4246,Othmar KARAS,Austria,EPP,Austrian People's Party
218926,955199,2020-11-03,124780,Marco ZANNI,Italy,ID,League
218927,955199,2020-11-03,197822,Francesca DONATO,Italy,ID,League
218928,955199,2020-11-03,197799,Valentino GRANT,Italy,ID,League
218929,955199,2020-11-03,197787,Antonio Maria RINALDI,Italy,ID,League
218930,954753,2020-11-03,2187,Antonio TAJANI,Italy,EPP,Forza Italia
218931,954753,2020-11-03,96787,Herbert DORFMANN,Italy,EPP,South Tyrolean People's Party
218932,954753,2020-11-03,124828,Fulvio MARTUSCIELLO,Italy,EPP,Forza Italia
218933,953930,2020-11-03,124812,Fabio Massimo CASTALDO,Italy,NI,Five Star Movement
218934,954290,2020-11-03,96779,Danuta Maria HÜBNER,Poland,EPP,Civic Platform
218935,954781,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218936,954781,2020-11-03,125046,Jonás FERNÁNDEZ,Spain,S&D,Spanish Socialist Workers' Party
218937,954781,2020-11-03,125020,Paul TANG,Netherlands,S&D,Labour Party
218938,954781,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218939,954781,2020-11-03,202073,Marc ANGEL,Luxembourg,S&D,Luxembourg Socialist Worker's Party
218940,954038,2020-11-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
218941,954311,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218942,954118,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218943,954028,2020-11-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
218944,953783,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218945,954331,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218946,954331,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218947,954062,2020-11-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
218948,955202,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218949,954786,2020-11-03,2187,Antonio TAJANI,Italy,EPP,Forza Italia
218950,954786,2020-11-03,96787,Herbert DORFMANN,Italy,EPP,South Tyrolean People's Party
218951,954786,2020-11-03,124828,Fulvio MARTUSCIELLO,Italy,EPP,Forza Italia
218952,955061,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218953,954329,2020-11-03,124781,Alfred SANT,Malta,S&D,Labour Party
218954,954329,2020-11-03,125046,Jonás FERNÁNDEZ,Spain,S&D,Spanish Socialist Workers' Party
218955,954329,2020-11-03,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
218956,954329,2020-11-03,202073,Marc ANGEL,Luxembourg,S&D,Luxembourg Socialist Worker's Party
218957,954060,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218958,955207,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218959,955077,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218960,953786,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218961,954050,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218962,955094,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218963,955211,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218964,953801,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218965,955219,2020-11-03,197720,Frances FITZGERALD,Ireland,EPP,Fine Gael
218966,954774,2020-11-03,124812,Fabio Massimo CASTALDO,Italy,NI,Five Star Movement
218967,954387,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218968,954787,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218969,954335,2020-11-03,1917,Markus FERBER,Germany,EPP,Christian Social Union in Bavaria
218970,954081,2020-11-03,88715,José GUSMÃO,Portugal,GUE/NGL,Left Bloc
218971,954706,2020-11-03,1917,Markus FERBER,Germany,EPP,Christian Social Union in Bavaria
218972,954692,2020-11-03,1917,Markus FERBER,Germany,EPP,Christian Social Union in Bavaria
218973,953821,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218974,953820,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218975,954334,2020-11-03,88715,José GUSMÃO,Portugal,GUE/NGL,Left Bloc
218976,954064,2020-11-03,118949,Ondřej KOVAŘÍK,Czechia,RE,ANO 2011
218977,954071,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218978,954678,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218979,954246,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218980,954240,2020-11-03,88715,José GUSMÃO,Portugal,GUE/NGL,Left Bloc
218981,954078,2020-11-03,1917,Markus FERBER,Germany,EPP,Christian Social Union in Bavaria
218982,953805,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218983,954491,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218984,954999,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218985,954596,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218986,954667,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218987,954032,2020-11-03,197818,Billy KELLEHER,Ireland,RE,Fianna FÃ¡il
218988,955096,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218989,954984,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218990,954398,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218991,954595,2020-11-03,197767,Eugen JURZYCA,Slovakia,ECR,Freedom and Solidarity
218992,954856,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218993,954440,2020-11-03,124780,Marco ZANNI,Italy,ID,League
218994,954440,2020-11-03,197822,Francesca DONATO,Italy,ID,League
218995,954440,2020-11-03,197799,Valentino GRANT,Italy,ID,League
218996,954440,2020-11-03,197787,Antonio Maria RINALDI,Italy,ID,League
218997,954977,2020-11-03,124972,Ernest URTASUN,Spain,Greens/EFA,Comuns
218998,956555,2020-11-03,24505,Emmanuel MAUREL,France,GUE/NGL,Unbowed France
218999,956555,2020-11-03,96646,Helmut SCHOLZ,Germany,GUE/NGL,The Left
219000,956099,2020-11-03,197401,Karin KARLSBRO,Sweden,RE,Liberals
219001,955534,2020-11-03,23712,Jan ZAHRADIL,Czechia,ECR,Civic Democratic Party
219002,955534,2020-11-03,197467,Geert BOURGEOIS,Belgium,ECR,New Flemish Alliance
219003,956369,2020-11-03,202351,Carles PUIGDEMONT I CASAMAJÓ,Spain,NI,Together for Catalonia
219004,956370,2020-11-03,202351,Carles PUIGDEMONT I CASAMAJÓ,Spain,NI,Together for Catalonia
219005,956371,2020-11-03,202351,Carles PUIGDEMONT I CASAMAJÓ,Spain,NI,Together for Catalonia
219006,956454,2020-11-03,35016,Marco CAMPOMENOSI,Italy,ID,League
219007,956454,2020-11-03,197626,Herve JUVIN,France,ID,National Rally
219008,956454,2020-11-03,192635,Danilo Oscar LANCINI,Italy,ID,League
219009,956454,2020-11-03,204421,Jean-Lin LACAPELLE,France,ID,National Rally
219010,956454,2020-11-03,128483,Markus BUCHHEIT,Germany,ID,Alternative for Germany
219011,956123,2020-11-03,35016,Marco CAMPOMENOSI,Italy,ID,League
219012,956123,2020-11-03,197626,Herve JUVIN,France,ID,National Rally
219013,956123,2020-11-03,192635,Danilo Oscar LANCINI,Italy,ID,League
219014,956123,2020-11-03,204421,Jean-Lin LACAPELLE,France,ID,National Rally
219015,956123,2020-11-03,128483,Markus BUCHHEIT,Germany,ID,Alternative for Germany
219016,956991,2020-11-03,197652,Angelika WINZIG,Austria,EPP,Austrian People's Party
219017,955416,2020-11-03,128483,Markus BUCHHEIT,Germany,ID,Alternative for Germany
219018,955416,2020-11-03,198176,Roman HAIDER,Austria,ID,Freedom Party
219019,955416,2020-11-03,197481,Maximilian KRAH,Germany,ID,Alternative for Germany
219020,956998,2020-11-03,28219,Daniel CASPARY,Germany,EPP,Christian Democratic Union
219021,955395,2020-11-03,28219,Daniel CASPARY,Germany,EPP,Christian Democratic Union
219022,956241,2020-11-03,23712,Jan ZAHRADIL,Czechia,ECR,Civic Democratic Party
219023,956241,2020-11-03,197467,Geert BOURGEOIS,Belgium,ECR,New Flemish Alliance
219024,956789,2020-11-03,125670,Massimiliano SALINI,Italy,EPP,Forza Italia
219025,956789,2020-11-03,193419,Christophe HANSEN,Luxembourg,EPP,Christian Social People's Party
219026,956789,2020-11-03,197405,Jörgen WARBORN,Sweden,EPP,Moderate Party
219027,956789,2020-11-03,197652,Angelika WINZIG,Austria,EPP,Austrian People's Party
219028,956789,2020-11-03,96830,Enikő GYŐRI,Hungary,NI,Fidesz - Hungarian Civic Alliance
219029,957019,2020-11-03,125670,Massimiliano SALINI,Italy,EPP,Forza Italia
219030,957019,2020-11-03,97968,Andrey KOVATCHEV,Bulgaria,EPP,Citizens for European Development of Bulgaria
219031,957019,2020-11-03,96747,Arnaud DANJEAN,France,EPP,The Republicans
219032,957019,2020-11-03,96830,Enikő GYŐRI,Hungary,NI,Fidesz - Hungarian Civic Alliance
219033,957019,2020-11-03,197652,Angelika WINZIG,Austria,EPP,Austrian People's Party
219034,957019,2020-11-03,197405,Jörgen WARBORN,Sweden,EPP,Moderate Party
219035,955301,2020-11-03,206158,Manuela RIPA,Germany,Greens/EFA,Ecological Democratic Party
219036,956252,2020-11-03,35016,Marco CAMPOMENOSI,Italy,ID,League
219037,956252,2020-11-03,197626,Herve JUVIN,France,ID,National Rally
219038,956252,2020-11-03,192635,Danilo Oscar LANCINI,Italy,ID,League
219039,956252,2020-11-03,204421,Jean-Lin LACAPELLE,France,ID,National Rally
219040,956252,2020-11-03,128483,Markus BUCHHEIT,Germany,ID,Alternative for Germany
219041,956811,2020-11-03,197405,Jörgen WARBORN,Sweden,EPP,Moderate Party
219042,955769,2020-11-03,192635,Danilo Oscar LANCINI,Italy,ID,League
219043,956259,2020-11-03,193419,Christophe HANSEN,Luxembourg,EPP,Christian Social People's Party
219044,956672,2020-11-03,96779,Danuta Maria HÜBNER,Poland,EPP,Civic Platform
219045,957015,2020-11-03,124837,Joachim SCHUSTER,Germany,S&D,Social Democratic Party of Germany
219046,957015,2020-11-03,5729,Kathleen VAN BREMPT,Belgium,S&D,Forward
219047,957015,2020-11-03,125021,Agnes JONGERIUS,Netherlands,S&D,Labour Party
219048,957015,2020-11-03,197694,Raphaël GLUCKSMANN,France,S&D,Public Place
219049,955575,2020-11-03,197401,Karin KARLSBRO,Sweden,RE,Liberals
219050,955575,2020-11-03,124708,Dita CHARANZOVÁ,Czechia,RE,ANO 2011
219051,955575,2020-11-03,129073,Urmas PAET,Estonia,RE,Estonian Reform Party
219052,955575,2020-11-03,197444,Svenja HAHN,Germany,RE,Free Democratic Party
219053,955575,2020-11-03,197504,Jérémy DECERLE,France,RE,The Republic Forward
219054,955575,2020-11-03,126644,Jordi CAÑAS,Spain,RE,Citizens - Party of the Citizenry
219055,955575,2020-11-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
219056,955778,2020-11-03,28219,Daniel CASPARY,Germany,EPP,Christian Democratic Union
219057,956656,2020-11-03,124837,Joachim SCHUSTER,Germany,S&D,Social Democratic Party of Germany
219058,956656,2020-11-03,5729,Kathleen VAN BREMPT,Belgium,S&D,Forward
219059,956656,2020-11-03,125021,Agnes JONGERIUS,Netherlands,S&D,Labour Party
219060,955809,2020-11-03,192635,Danilo Oscar LANCINI,Italy,ID,League
219061,956554,2020-11-03,197652,Angelika WINZIG,Austria,EPP,Austrian People's Party
219062,955943,2020-11-03,206158,Manuela RIPA,Germany,Greens/EFA,Ecological Democratic Party
219063,955526,2020-11-03,197401,Karin KARLSBRO,Sweden,RE,Liberals
219064,955526,2020-11-03,124708,Dita CHARANZOVÁ,Czechia,RE,ANO 2011
219065,955526,2020-11-03,197869,Liesje SCHREINEMACHER,Netherlands,RE,People's Party for Freedom and Democracy
219066,955526,2020-11-03,129073,Urmas PAET,Estonia,RE,Estonian Reform Party
219067,955526,2020-11-03,197444,Svenja HAHN,Germany,RE,Free Democratic Party
219068,955526,2020-11-03,197504,Jérémy DECERLE,France,RE,The Republic Forward
219069,955526,2020-11-03,126644,Jordi CAÑAS,Spain,RE,Citizens - Party of the Citizenry
219070,955526,2020-11-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
219071,955794,2020-11-03,197405,Jörgen WARBORN,Sweden,EPP,Moderate Party
219072,956562,2020-11-03,35016,Marco CAMPOMENOSI,Italy,ID,League
219073,956562,2020-11-03,197626,Herve JUVIN,France,ID,National Rally
219074,956562,2020-11-03,192635,Danilo Oscar LANCINI,Italy,ID,League
219075,956562,2020-11-03,204421,Jean-Lin LACAPELLE,France,ID,National Rally
219076,956562,2020-11-03,128483,Markus BUCHHEIT,Germany,ID,Alternative for Germany
219077,955552,2020-11-03,125030,Annie SCHREIJER-PIERIK,Netherlands,EPP,Christian Democratic Appeal
219078,955561,2020-11-03,197405,Jörgen WARBORN,Sweden,EPP,Moderate Party
219079,955835,2020-11-03,124837,Joachim SCHUSTER,Germany,S&D,Social Democratic Party of Germany
219080,955835,2020-11-03,5729,Kathleen VAN BREMPT,Belgium,S&D,Forward
219081,955835,2020-11-03,125021,Agnes JONGERIUS,Netherlands,S&D,Labour Party
219082,955835,2020-11-03,197694,Raphaël GLUCKSMANN,France,S&D,Public Place
219083,956131,2020-11-03,206158,Manuela RIPA,Germany,Greens/EFA,Ecological Democratic Party
219084,955968,2020-11-03,24505,Emmanuel MAUREL,France,GUE/NGL,Unbowed France
219085,956481,2020-11-03,35016,Marco CAMPOMENOSI,Italy,ID,League
219086,956481,2020-11-03,197626,Herve JUVIN,France,ID,National Rally
219087,956481,2020-11-03,192635,Danilo Oscar LANCINI,Italy,ID,League
219088,956481,2020-11-03,204421,Jean-Lin LACAPELLE,France,ID,National Rally
219089,955598,2020-11-03,198490,Emmanouil FRAGKOS,Greece,ECR,Greek Solution
219090,955981,2020-11-03,197405,Jörgen WARBORN,Sweden,EPP,Moderate Party
219091,956907,2020-11-03,128483,Markus BUCHHEIT,Germany,ID,Alternative for Germany
219092,956907,2020-11-03,198176,Roman HAIDER,Austria,ID,Freedom Party
219093,956907,2020-11-03,197481,Maximilian KRAH,Germany,ID,Alternative for Germany
219094,956077,2020-11-03,198490,Emmanouil FRAGKOS,Greece,ECR,Greek Solution
219095,955426,2020-11-03,35016,Marco CAMPOMENOSI,Italy,ID,League
219096,955426,2020-11-03,197626,Herve JUVIN,France,ID,National Rally
219097,955426,2020-11-03,192635,Danilo Oscar LANCINI,Italy,ID,League
219098,955426,2020-11-03,204421,Jean-Lin LACAPELLE,France,ID,National Rally
219099,955426,2020-11-03,128483,Markus BUCHHEIT,Germany,ID,Alternative for Germany
219100,956020,2020-11-03,28219,Daniel CASPARY,Germany,EPP,Christian Democratic Union
219101,955449,2020-11-03,198490,Emmanouil FRAGKOS,Greece,ECR,Greek Solution
219102,955854,2020-11-03,193419,Christophe HANSEN,Luxembourg,EPP,Christian Social People's Party
219103,957067,2020-11-03,202351,Carles PUIGDEMONT I CASAMAJÓ,Spain,NI,Together for Catalonia
219104,957063,2020-11-03,24505,Emmanuel MAUREL,France,GUE/NGL,Unbowed France
219105,957063,2020-11-03,96646,Helmut SCHOLZ,Germany,GUE/NGL,The Left
219106,955700,2020-11-03,206158,Manuela RIPA,Germany,Greens/EFA,Ecological Democratic Party
219107,956147,2020-11-03,204421,Jean-Lin LACAPELLE,France,ID,National Rally
219108,956147,2020-11-03,197790,Luisa REGIMENTI,Italy,ID,League
219109,956147,2020-11-03,35016,Marco CAMPOMENOSI,Italy,ID,League
219110,955608,2020-11-03,128483,Markus BUCHHEIT,Germany,ID,Alternative for Germany
219111,955608,2020-11-03,198176,Roman HAIDER,Austria,ID,Freedom Party
219112,955608,2020-11-03,197481,Maximilian KRAH,Germany,ID,Alternative for Germany
219113,956872,2020-11-03,193419,Christophe HANSEN,Luxembourg,EPP,Christian Social People's Party
219114,956159,2020-11-03,124837,Joachim SCHUSTER,Germany,S&D,Social Democratic Party of Germany
219115,956159,2020-11-03,5729,Kathleen VAN BREMPT,Belgium,S&D,Forward
219116,956159,2020-11-03,125021,Agnes JONGERIUS,Netherlands,S&D,Labour Party
219117,956159,2020-11-03,197694,Raphaël GLUCKSMANN,France,S&D,Public Place
