,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
40784,897299,2020-04-01,124970,Miriam DALLI,Malta,S&D,Labour Party
40785,897300,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40786,896756,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40787,896961,2020-04-01,124970,Miriam DALLI,Malta,S&D,Labour Party
40788,897000,2020-04-01,96711,Pascal CANFIN,France,RE,The Republic Forward
40789,897112,2020-04-01,124970,Miriam DALLI,Malta,S&D,Labour Party
40790,897184,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40791,897126,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40792,897186,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40793,896795,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40794,897118,2020-04-01,124970,Miriam DALLI,Malta,S&D,Labour Party
40795,897164,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40796,896808,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40797,897158,2020-04-01,197578,Silvia SARDONE,Italy,ID,League
40798,896700,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40799,896810,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40800,896669,2020-04-01,96711,Pascal CANFIN,France,RE,The Republic Forward
40801,896907,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40802,896809,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40803,896668,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40804,896910,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40805,897285,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40806,896766,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40807,896681,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40808,896913,2020-04-01,124970,Miriam DALLI,Malta,S&D,Labour Party
40809,897290,2020-04-01,96711,Pascal CANFIN,France,RE,The Republic Forward
40810,896763,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40811,896865,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40812,896685,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40813,896971,2020-04-01,124970,Miriam DALLI,Malta,S&D,Labour Party
40814,897302,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40815,896963,2020-04-01,96711,Pascal CANFIN,France,RE,The Republic Forward
40816,897128,2020-04-01,124970,Miriam DALLI,Malta,S&D,Labour Party
40817,896734,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40818,897162,2020-04-01,125064,Maria SPYRAKI,Greece,EPP,New Democracy
40819,896807,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40820,896973,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40821,897127,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40822,897161,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40823,896976,2020-04-01,197578,Silvia SARDONE,Italy,ID,League
40824,897092,2020-04-01,124970,Miriam DALLI,Malta,S&D,Labour Party
40825,897096,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40826,897165,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40827,896871,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40828,896672,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40829,897167,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40830,896885,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40831,896868,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40832,896684,2020-04-01,124970,Miriam DALLI,Malta,S&D,Labour Party
40833,896883,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40834,896642,2020-04-01,197721,César LUENA,Spain,S&D,Spanish Socialist Workers' Party
40835,896886,2020-04-01,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
40836,890576,2020-04-02,197502,Marie-Pierre VEDRENNE,France,RE,The Republic Forward
40837,890576,2020-04-02,4253,Frédérique RIES,Belgium,RE,Reformist Movement
40838,890576,2020-04-02,125038,Maite PAGAZAURTUNDÚA,Spain,RE,Citizens - Party of the Citizenry
40839,890576,2020-04-02,124862,Ulrike MÜLLER,Germany,RE,Free Voters
40840,890576,2020-04-02,126644,Jordi CAÑAS,Spain,RE,Citizens - Party of the Citizenry
40841,890576,2020-04-02,124700,Yana TOOM,Estonia,RE,Estonian Centre Party
40842,891338,2020-04-02,127096,Domènec RUIZ DEVESA,Spain,S&D,Spanish Socialist Workers' Party
40843,891338,2020-04-02,197719,Cristina MAESTRE MARTÍN DE ALMAGRO,Spain,S&D,Spanish Socialist Workers' Party
40844,891338,2020-04-02,96952,Sylvie GUILLAUME,France,S&D,Socialist Party
40845,891338,2020-04-02,197403,Alex AGIUS SALIBA,Malta,S&D,Labour Party
40846,883572,2020-04-02,197502,Marie-Pierre VEDRENNE,France,RE,The Republic Forward
40847,883572,2020-04-02,4253,Frédérique RIES,Belgium,RE,Reformist Movement
40848,883572,2020-04-02,125038,Maite PAGAZAURTUNDÚA,Spain,RE,Citizens - Party of the Citizenry
40849,883572,2020-04-02,124862,Ulrike MÜLLER,Germany,RE,Free Voters
40850,883572,2020-04-02,126644,Jordi CAÑAS,Spain,RE,Citizens - Party of the Citizenry
40851,883572,2020-04-02,124700,Yana TOOM,Estonia,RE,Estonian Centre Party
40852,892222,2020-04-02,197582,Gianna GANCIA,Italy,ID,League
