,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
463074,1041041,2021-10-01,197457,Henrike HAHN,Germany,Greens/EFA,The Greens
463075,1040865,2021-10-01,197457,Henrike HAHN,Germany,Greens/EFA,The Greens
463076,1040434,2021-10-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
463077,1041020,2021-10-01,197597,Hélène LAPORTE,France,ID,National Rally
463078,1041020,2021-10-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
463079,1041039,2021-10-01,88882,Victor NEGRESCU,Romania,S&D,Social Democratic Party
463080,1041039,2021-10-01,96991,Eider GARDIAZABAL RUBIAL,Spain,S&D,Spanish Socialist Workers' Party
463081,1040787,2021-10-01,197597,Hélène LAPORTE,France,ID,National Rally
463082,1040787,2021-10-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
463083,1041014,2021-10-01,197597,Hélène LAPORTE,France,ID,National Rally
463084,1041014,2021-10-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
463085,1041028,2021-10-01,88882,Victor NEGRESCU,Romania,S&D,Social Democratic Party
463086,1041028,2021-10-01,96991,Eider GARDIAZABAL RUBIAL,Spain,S&D,Spanish Socialist Workers' Party
463087,1040820,2021-10-01,58766,Nicolae ŞTEFĂNUȚĂ,Romania,RE,Save Romania Party
463088,1040820,2021-10-01,135511,Valérie HAYER,France,RE,The Republic Forward
463089,1040820,2021-10-01,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
463090,1040820,2021-10-01,197770,Martin HOJSÍK,Slovakia,RE,Progressive Slovakia
463091,1040820,2021-10-01,197554,Luis GARICANO,Spain,RE,Citizens - Party of the Citizenry
463092,1040820,2021-10-01,22858,Fabienne KELLER,France,RE,The Republic Forward
463093,1040820,2021-10-01,209140,Vlad GHEORGHE,Romania,RE,Save Romania Party
463094,1040820,2021-10-01,197445,Moritz KÖRNER,Germany,RE,Free Democratic Party
463095,1040753,2021-10-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
463096,1041026,2021-10-01,124781,Alfred SANT,Malta,S&D,Labour Party
463097,1040818,2021-10-01,197457,Henrike HAHN,Germany,Greens/EFA,The Greens
463098,1040748,2021-10-01,96833,Jens GEIER,Germany,S&D,Social Democratic Party of Germany
463099,1040533,2021-10-01,28586,Dimitrios PAPADIMOULIS,Greece,GUE/NGL,Coalition of the Radical Left
463100,1040814,2021-10-01,197597,Hélène LAPORTE,France,ID,National Rally
463101,1040814,2021-10-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
463102,1040742,2021-10-01,197788,Anna BONFRISCO,Italy,ID,League
463103,1040530,2021-10-01,197457,Henrike HAHN,Germany,Greens/EFA,The Greens
463104,1040637,2021-10-01,88882,Victor NEGRESCU,Romania,S&D,Social Democratic Party
463105,1040637,2021-10-01,96991,Eider GARDIAZABAL RUBIAL,Spain,S&D,Spanish Socialist Workers' Party
463106,1040685,2021-10-01,197457,Henrike HAHN,Germany,Greens/EFA,The Greens
463107,1040528,2021-10-01,197457,Henrike HAHN,Germany,Greens/EFA,The Greens
