,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
302063,983872,2021-03-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
302064,981394,2021-03-01,88882,Victor NEGRESCU,Romania,S&D,Social Democratic Party
302065,981346,2021-03-01,88882,Victor NEGRESCU,Romania,S&D,Social Democratic Party
302066,983237,2021-03-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
302067,983237,2021-03-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
302068,983229,2021-03-01,135511,Valérie HAYER,France,RE,The Republic Forward
302069,983229,2021-03-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
302070,984930,2021-03-01,197503,David CORMAND,France,Greens/EFA,Europe Ecology
302071,984930,2021-03-01,197448,Rasmus ANDRESEN,Germany,Greens/EFA,The Greens
302072,981439,2021-03-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
302073,981439,2021-03-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
302074,983272,2021-03-01,124781,Alfred SANT,Malta,S&D,Labour Party
302075,984989,2021-03-01,135511,Valérie HAYER,France,RE,The Republic Forward
302076,984989,2021-03-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
302077,981740,2021-03-01,135511,Valérie HAYER,France,RE,The Republic Forward
302078,981740,2021-03-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
302079,984664,2021-03-01,135511,Valérie HAYER,France,RE,The Republic Forward
302080,984664,2021-03-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
302081,982705,2021-03-01,197396,Erik BERGKVIST,Sweden,S&D,Swedish Social Democratic Party
302082,982307,2021-03-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
302083,982722,2021-03-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
302084,982722,2021-03-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
302085,983611,2021-03-01,197503,David CORMAND,France,Greens/EFA,Europe Ecology
302086,983611,2021-03-01,197448,Rasmus ANDRESEN,Germany,Greens/EFA,The Greens
302087,984710,2021-03-01,197597,Hélène LAPORTE,France,ID,National Rally
302088,982074,2021-03-01,88882,Victor NEGRESCU,Romania,S&D,Social Democratic Party
302089,982059,2021-03-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
302090,982694,2021-03-01,124781,Alfred SANT,Malta,S&D,Labour Party
302091,981360,2021-03-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
302092,981360,2021-03-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
302093,983113,2021-03-01,135511,Valérie HAYER,France,RE,The Republic Forward
302094,983113,2021-03-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
302095,983820,2021-03-01,197503,David CORMAND,France,Greens/EFA,Europe Ecology
302096,983820,2021-03-01,197448,Rasmus ANDRESEN,Germany,Greens/EFA,The Greens
302097,983626,2021-03-01,135511,Valérie HAYER,France,RE,The Republic Forward
302098,983626,2021-03-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
302099,981748,2021-03-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
302100,983576,2021-03-01,197503,David CORMAND,France,Greens/EFA,Europe Ecology
302101,983576,2021-03-01,197448,Rasmus ANDRESEN,Germany,Greens/EFA,The Greens
302102,984908,2021-03-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
302103,984908,2021-03-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
302104,981735,2021-03-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
302105,981735,2021-03-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
302106,982718,2021-03-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
302107,982718,2021-03-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
302108,984420,2021-03-01,135511,Valérie HAYER,France,RE,The Republic Forward
302109,984420,2021-03-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
302110,982312,2021-03-01,197597,Hélène LAPORTE,France,ID,National Rally
302111,982767,2021-03-01,124781,Alfred SANT,Malta,S&D,Labour Party
302112,984409,2021-03-01,197554,Luis GARICANO,Spain,RE,Citizens - Party of the Citizenry
302113,982302,2021-03-01,30482,Younous OMARJEE,France,GUE/NGL,Unbowed France
302114,983119,2021-03-01,197503,David CORMAND,France,Greens/EFA,Europe Ecology
302115,983119,2021-03-01,197448,Rasmus ANDRESEN,Germany,Greens/EFA,The Greens
302116,984451,2021-03-01,28615,Roberts ZĪLE,Latvia,ECR,National Alliance
302117,983817,2021-03-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
302118,983817,2021-03-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
302119,982333,2021-03-01,197503,David CORMAND,France,Greens/EFA,Europe Ecology
302120,982333,2021-03-01,197448,Rasmus ANDRESEN,Germany,Greens/EFA,The Greens
302121,983148,2021-03-01,197503,David CORMAND,France,Greens/EFA,Europe Ecology
302122,983148,2021-03-01,197448,Rasmus ANDRESEN,Germany,Greens/EFA,The Greens
302123,983159,2021-03-01,30482,Younous OMARJEE,France,GUE/NGL,Unbowed France
302124,983930,2021-03-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
302125,983930,2021-03-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
302126,981392,2021-03-01,30482,Younous OMARJEE,France,GUE/NGL,Unbowed France
302127,983914,2021-03-01,197503,David CORMAND,France,Greens/EFA,Europe Ecology
302128,983914,2021-03-01,197448,Rasmus ANDRESEN,Germany,Greens/EFA,The Greens
302129,982414,2021-03-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
302130,982414,2021-03-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
302131,983322,2021-03-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
302132,983902,2021-03-01,135511,Valérie HAYER,France,RE,The Republic Forward
302133,983902,2021-03-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
302134,981475,2021-03-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
302135,981475,2021-03-01,197638,Margarida MARQUES,Portugal,S&D,Socialist Party
302136,983262,2021-03-01,135511,Valérie HAYER,France,RE,The Republic Forward
302137,983262,2021-03-01,96899,José Manuel FERNANDES,Portugal,EPP,Social Democratic Party
302138,984977,2021-03-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
302139,982734,2021-03-01,197698,Pierre LARROUTUROU,France,S&D,New Deal
302140,982346,2021-03-01,197597,Hélène LAPORTE,France,ID,National Rally
302141,982346,2021-03-01,197482,Joachim KUHS,Germany,ID,Alternative for Germany
302142,983109,2021-03-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
