,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
444658,1029861,2021-08-02,197570,Peter KOFOD,Denmark,ID,Danish People's Party
444659,1030150,2021-08-02,127096,Domènec RUIZ DEVESA,Spain,S&D,Spanish Socialist Workers' Party
444660,1030230,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444661,1030230,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444662,1030230,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444663,1030230,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444664,1030230,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444665,1030230,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444666,1030230,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444667,1029767,2021-08-02,197731,Clare DALY,Ireland,GUE/NGL,Independents 4 Change
444668,1029866,2021-08-02,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
444669,1030247,2021-08-02,197570,Peter KOFOD,Denmark,ID,Danish People's Party
444670,1029795,2021-08-02,127096,Domènec RUIZ DEVESA,Spain,S&D,Spanish Socialist Workers' Party
444671,1029770,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444672,1029770,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444673,1029770,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444674,1029770,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444675,1029770,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444676,1029770,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444677,1029770,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444678,1029617,2021-08-02,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
444679,1029799,2021-08-02,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
444680,1030037,2021-08-02,127096,Domènec RUIZ DEVESA,Spain,S&D,Spanish Socialist Workers' Party
444681,1029779,2021-08-02,197570,Peter KOFOD,Denmark,ID,Danish People's Party
444682,1029573,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444683,1029573,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444684,1029573,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444685,1029573,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444686,1029573,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444687,1029573,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444688,1029573,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444689,1029406,2021-08-02,127096,Domènec RUIZ DEVESA,Spain,S&D,Spanish Socialist Workers' Party
444690,1029785,2021-08-02,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
444691,1029569,2021-08-02,197731,Clare DALY,Ireland,GUE/NGL,Independents 4 Change
444692,1029421,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444693,1029421,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444694,1029421,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444695,1029421,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444696,1029421,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444697,1029421,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444698,1029421,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444699,1029421,2021-08-02,197588,Katalin CSEH,Hungary,RE,Momentum Movement
444700,1029558,2021-08-02,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
444701,1029429,2021-08-02,197731,Clare DALY,Ireland,GUE/NGL,Independents 4 Change
444702,1029984,2021-08-02,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
444703,1029412,2021-08-02,197731,Clare DALY,Ireland,GUE/NGL,Independents 4 Change
444704,1030355,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444705,1030355,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444706,1030355,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444707,1030355,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444708,1030355,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444709,1030355,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444710,1030355,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444711,1029988,2021-08-02,197570,Peter KOFOD,Denmark,ID,Danish People's Party
444712,1030361,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444713,1030361,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444714,1030361,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444715,1030361,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444716,1030361,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444717,1030361,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444718,1030361,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444719,1030152,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444720,1030152,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444721,1030152,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444722,1030152,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444723,1030152,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444724,1030152,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444725,1030152,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444726,1029995,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444727,1029995,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444728,1029995,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444729,1029995,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444730,1029995,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444731,1029995,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444732,1029995,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444733,1030367,2021-08-02,197731,Clare DALY,Ireland,GUE/NGL,Independents 4 Change
444734,1030157,2021-08-02,127096,Domènec RUIZ DEVESA,Spain,S&D,Spanish Socialist Workers' Party
444735,1030252,2021-08-02,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
444736,1030302,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444737,1030302,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444738,1030302,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444739,1030302,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444740,1030302,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444741,1030302,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444742,1030302,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444743,1030167,2021-08-02,197731,Clare DALY,Ireland,GUE/NGL,Independents 4 Change
444744,1030246,2021-08-02,197570,Peter KOFOD,Denmark,ID,Danish People's Party
444745,1029791,2021-08-02,127096,Domènec RUIZ DEVESA,Spain,S&D,Spanish Socialist Workers' Party
444746,1030172,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444747,1030172,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444748,1030172,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444749,1030172,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444750,1030172,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444751,1030172,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444752,1030172,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444753,1030209,2021-08-02,197731,Clare DALY,Ireland,GUE/NGL,Independents 4 Change
444754,1029821,2021-08-02,197570,Peter KOFOD,Denmark,ID,Danish People's Party
444755,1029775,2021-08-02,127096,Domènec RUIZ DEVESA,Spain,S&D,Spanish Socialist Workers' Party
444756,1029572,2021-08-02,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
444757,1029830,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444758,1029830,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444759,1029830,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444760,1029830,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444761,1029830,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444762,1029830,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444763,1029830,2021-08-02,197505,Catherine CHABAUD,France,RE,The Republic Forward
444764,1029729,2021-08-02,197731,Clare DALY,Ireland,GUE/NGL,Independents 4 Change
444765,1029574,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444766,1029574,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444767,1029574,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444768,1029574,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444769,1029574,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444770,1029574,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444771,1029574,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444772,1029430,2021-08-02,127096,Domènec RUIZ DEVESA,Spain,S&D,Spanish Socialist Workers' Party
444773,1029736,2021-08-02,197570,Peter KOFOD,Denmark,ID,Danish People's Party
444774,1029583,2021-08-02,127096,Domènec RUIZ DEVESA,Spain,S&D,Spanish Socialist Workers' Party
444775,1029503,2021-08-02,197731,Clare DALY,Ireland,GUE/NGL,Independents 4 Change
444776,1030002,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444777,1030002,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444778,1030002,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444779,1030002,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444780,1030002,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444781,1030002,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444782,1030002,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
444783,1029578,2021-08-02,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
444784,1029499,2021-08-02,22858,Fabienne KELLER,France,RE,The Republic Forward
444785,1029499,2021-08-02,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
444786,1029499,2021-08-02,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
444787,1029499,2021-08-02,197494,Nathalie LOISEAU,France,RE,The Republic Forward
444788,1029499,2021-08-02,197432,Jan-Christoph OETJEN,Germany,RE,Free Democratic Party
444789,1029499,2021-08-02,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
444790,1029499,2021-08-02,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
