,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
606642,1087119,2022-03-01,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
606643,1087119,2022-03-01,33982,Marian-Jean MARINESCU,Romania,EPP,National Liberal Party
606644,1087119,2022-03-01,124734,Cláudia MONTEIRO DE AGUIAR,Portugal,EPP,Social Democratic Party
606645,1087119,2022-03-01,1917,Markus FERBER,Germany,EPP,Christian Social Union in Bavaria
606646,1087119,2022-03-01,197649,Gheorghe FALCĂ,Romania,EPP,National Liberal Party
606647,1092035,2022-03-01,197805,Silvia MODIG,Finland,GUE/NGL,Left Alliance
606648,1088860,2022-03-01,197517,Adam JARUBAS,Poland,EPP,Polish People's Party
606649,1088860,2022-03-01,28269,Jerzy BUZEK,Poland,EPP,Civic Platform
606650,1087135,2022-03-01,197572,Anna ZALEWSKA,Poland,ECR,Law and Justice
606651,1091880,2022-03-01,197572,Anna ZALEWSKA,Poland,ECR,Law and Justice
606652,1092234,2022-03-01,197449,Michael BLOSS,Germany,Greens/EFA,The Greens
606653,1093954,2022-03-01,197805,Silvia MODIG,Finland,GUE/NGL,Left Alliance
606654,1084908,2022-03-01,197805,Silvia MODIG,Finland,GUE/NGL,Left Alliance
606655,1092348,2022-03-01,197449,Michael BLOSS,Germany,Greens/EFA,The Greens
606656,1086232,2022-03-01,197449,Michael BLOSS,Germany,Greens/EFA,The Greens
606657,1087774,2022-03-01,197449,Michael BLOSS,Germany,Greens/EFA,The Greens
606658,1087279,2022-03-01,214839,Emma WIESNER,Sweden,RE,Centre Party
606659,1087279,2022-03-01,197505,Catherine CHABAUD,France,RE,The Republic Forward
606660,1088079,2022-03-01,197805,Silvia MODIG,Finland,GUE/NGL,Left Alliance
606661,1090081,2022-03-01,197648,Alexander BERNHUBER,Austria,EPP,Austrian People's Party
606662,1090081,2022-03-01,197652,Angelika WINZIG,Austria,EPP,Austrian People's Party
606663,1087110,2022-03-01,197556,Ivan DAVID,Czechia,ID,Freedom and Direct Democracy
606664,1084938,2022-03-01,214839,Emma WIESNER,Sweden,RE,Centre Party
606665,1084938,2022-03-01,96711,Pascal CANFIN,France,RE,The Republic Forward
606666,1084938,2022-03-01,197505,Catherine CHABAUD,France,RE,The Republic Forward
606667,1086652,2022-03-01,197572,Anna ZALEWSKA,Poland,ECR,Law and Justice
