,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
149263,935636,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149264,935151,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149265,935151,2020-09-01,191693,Elsi KATAINEN,Finland,RE,Centre Party
149266,933237,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149267,933271,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149268,933271,2020-09-01,191693,Elsi KATAINEN,Finland,RE,Centre Party
149269,934680,2020-09-01,199996,Isabel CARVALHAIS,Portugal,S&D,Socialist Party
149270,935296,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149271,935296,2020-09-01,191693,Elsi KATAINEN,Finland,RE,Centre Party
149272,934663,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149273,934663,2020-09-01,191693,Elsi KATAINEN,Finland,RE,Centre Party
149274,935313,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149275,933339,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149276,933339,2020-09-01,191693,Elsi KATAINEN,Finland,RE,Centre Party
149277,933194,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149278,936039,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149279,936039,2020-09-01,191693,Elsi KATAINEN,Finland,RE,Centre Party
149280,934632,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149281,935083,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149282,933886,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149283,935936,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149284,935116,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149285,934860,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149286,934900,2020-09-01,197611,Elena LIZZI,Italy,ID,League
149287,934900,2020-09-01,124738,Gilles LEBRETON,France,ID,National Rally
149288,934900,2020-09-01,197556,Ivan DAVID,Czechia,ID,Freedom and Direct Democracy
149289,934900,2020-09-01,97198,Mara BIZZOTTO,Italy,ID,League
149290,935341,2020-09-01,124836,Maria NOICHL,Germany,S&D,Social Democratic Party of Germany
149291,935341,2020-09-01,197651,Carmen AVRAM,Romania,S&D,Social Democratic Party
149292,933610,2020-09-01,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
149293,934911,2020-09-01,197651,Carmen AVRAM,Romania,S&D,Social Democratic Party
149294,934911,2020-09-01,197838,Juozas OLEKAS,Lithuania,S&D,Social Democratic Party of Lithuania
149295,934911,2020-09-01,96891,Paolo DE CASTRO,Italy,S&D,Democratic Party
149296,934911,2020-09-01,197761,Miroslav ČÍŽ,Slovakia,S&D,Direction - Slovak Social Democracy
149297,934911,2020-09-01,124846,Pina PICIERNO,Italy,S&D,Democratic Party
149298,934911,2020-09-01,197658,Adrian-Dragoş BENEA,Romania,S&D,Social Democratic Party
149299,934911,2020-09-01,33997,Corina CREȚU,Romania,S&D,PRO Romania
149300,934911,2020-09-01,197587,Attila ARA-KOVÁCS,Hungary,S&D,Democratic Coalition
149301,934911,2020-09-01,197846,Ivo HRISTOV,Bulgaria,S&D,Bulgarian Socialist Party
149302,935641,2020-09-01,197773,Bert-Jan RUISSEN,Netherlands,ECR,Reformed Political Party
149303,935072,2020-09-01,125012,Daniel BUDA,Romania,EPP,National Liberal Party
149304,935238,2020-09-01,197769,Michal WIEZIK,Slovakia,EPP,TOGETHER - Civic Democracy
149305,935379,2020-09-01,24594,Anne SANDER,France,EPP,The Republicans
149306,934498,2020-09-01,24594,Anne SANDER,France,EPP,The Republicans
149307,935052,2020-09-01,197651,Carmen AVRAM,Romania,S&D,Social Democratic Party
149308,935052,2020-09-01,197838,Juozas OLEKAS,Lithuania,S&D,Social Democratic Party of Lithuania
149309,935052,2020-09-01,96891,Paolo DE CASTRO,Italy,S&D,Democratic Party
149310,935052,2020-09-01,197761,Miroslav ČÍŽ,Slovakia,S&D,Direction - Slovak Social Democracy
149311,935052,2020-09-01,124846,Pina PICIERNO,Italy,S&D,Democratic Party
149312,935052,2020-09-01,197658,Adrian-Dragoş BENEA,Romania,S&D,Social Democratic Party
149313,935052,2020-09-01,33997,Corina CREȚU,Romania,S&D,PRO Romania
149314,935052,2020-09-01,197587,Attila ARA-KOVÁCS,Hungary,S&D,Democratic Coalition
149315,935052,2020-09-01,197846,Ivo HRISTOV,Bulgaria,S&D,Bulgarian Socialist Party
