,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
688119,1121089,2022-06-01,124877,Jadwiga WIŚNIEWSKA,Poland,ECR,Law and Justice
688120,1120960,2022-06-01,124586,Balázs HIDVÉGHI,Hungary,NI,Fidesz - Hungarian Civic Alliance
688121,1120583,2022-06-01,124586,Balázs HIDVÉGHI,Hungary,NI,Fidesz - Hungarian Civic Alliance
688122,1120755,2022-06-01,124586,Balázs HIDVÉGHI,Hungary,NI,Fidesz - Hungarian Civic Alliance
688123,1121566,2022-06-01,197536,Nathalie COLIN-OESTERLÉ,France,EPP,The Republicans
688124,1121297,2022-06-01,124877,Jadwiga WIŚNIEWSKA,Poland,ECR,Law and Justice
688125,1121777,2022-06-01,124586,Balázs HIDVÉGHI,Hungary,NI,Fidesz - Hungarian Civic Alliance
688126,1120888,2022-06-01,197597,Hélène LAPORTE,France,ID,National Rally
688127,1120888,2022-06-01,197493,Jaak MADISON,Estonia,ID,Conservative People's Party of Estonia
688128,1120888,2022-06-01,197480,Nicolaus FEST,Germany,ID,Alternative for Germany
688129,1121163,2022-06-01,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
688130,1121163,2022-06-01,197766,Lucia ĎURIŠ NICHOLSONOVÁ,Slovakia,RE,Independent
688131,1121163,2022-06-01,197445,Moritz KÖRNER,Germany,RE,Free Democratic Party
688132,1121163,2022-06-01,197781,Malik AZMANI,Netherlands,RE,People's Party for Freedom and Democracy
688133,1121163,2022-06-01,197400,Abir AL-SAHLANI,Sweden,RE,Centre Party
688134,1121163,2022-06-01,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
688135,1121163,2022-06-01,197595,Anna Júlia DONÁTH,Hungary,RE,Momentum Movement
688136,1121163,2022-06-01,125038,Maite PAGAZAURTUNDÚA,Spain,RE,Citizens - Party of the Citizenry
688137,1120890,2022-06-01,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
688138,1120890,2022-06-01,197421,Isabel WISELER-LIMA,Luxembourg,EPP,Christian Social People's Party
688139,1120890,2022-06-01,197678,Bettina VOLLATH,Austria,S&D,Social Democratic Party of Austria
688140,1120890,2022-06-01,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
688141,1120890,2022-06-01,124992,Malin BJÖRK,Sweden,GUE/NGL,Left Party
688142,1120514,2022-06-01,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
688143,1120514,2022-06-01,197421,Isabel WISELER-LIMA,Luxembourg,EPP,Christian Social People's Party
688144,1120514,2022-06-01,197678,Bettina VOLLATH,Austria,S&D,Social Democratic Party of Austria
688145,1120514,2022-06-01,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
688146,1120514,2022-06-01,124992,Malin BJÖRK,Sweden,GUE/NGL,Left Party
688147,1121138,2022-06-01,124992,Malin BJÖRK,Sweden,GUE/NGL,Left Party
688148,1121269,2022-06-01,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
688149,1121269,2022-06-01,197421,Isabel WISELER-LIMA,Luxembourg,EPP,Christian Social People's Party
688150,1121269,2022-06-01,197678,Bettina VOLLATH,Austria,S&D,Social Democratic Party of Austria
688151,1121269,2022-06-01,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
688152,1121269,2022-06-01,124992,Malin BJÖRK,Sweden,GUE/NGL,Left Party
688153,1120509,2022-06-01,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
688154,1120509,2022-06-01,197421,Isabel WISELER-LIMA,Luxembourg,EPP,Christian Social People's Party
688155,1120509,2022-06-01,197678,Bettina VOLLATH,Austria,S&D,Social Democratic Party of Austria
688156,1120509,2022-06-01,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
688157,1120509,2022-06-01,124992,Malin BJÖRK,Sweden,GUE/NGL,Left Party
688158,1121245,2022-06-01,197531,Gwendoline DELBOS-CORFIELD,France,Greens/EFA,Europe Ecology
688159,1121245,2022-06-01,197421,Isabel WISELER-LIMA,Luxembourg,EPP,Christian Social People's Party
