,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
532137,1061815,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532138,1060519,2022-01-03,197541,Andżelika Anna MOŻDŻANOWSKA,Poland,ECR,Law and Justice
532139,1063535,2022-01-03,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
532140,1059374,2022-01-03,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
532141,1062082,2022-01-03,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
532142,1063561,2022-01-03,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
532143,1059396,2022-01-03,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
532144,1062741,2022-01-03,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
532145,1060925,2022-01-03,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
532146,1059506,2022-01-03,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
532147,1059549,2022-01-03,197515,Pernille WEISS,Denmark,EPP,Conservative People's Party
532148,1059549,2022-01-03,197422,Christine SCHNEIDER,Germany,EPP,Christian Democratic Union
532149,1059549,2022-01-03,197652,Angelika WINZIG,Austria,EPP,Austrian People's Party
532150,1062768,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532151,1059453,2022-01-03,197515,Pernille WEISS,Denmark,EPP,Conservative People's Party
532152,1059453,2022-01-03,197720,Frances FITZGERALD,Ireland,EPP,Fine Gael
532153,1059453,2022-01-03,197422,Christine SCHNEIDER,Germany,EPP,Christian Democratic Union
532154,1063183,2022-01-03,197515,Pernille WEISS,Denmark,EPP,Conservative People's Party
532155,1063183,2022-01-03,197720,Frances FITZGERALD,Ireland,EPP,Fine Gael
532156,1063183,2022-01-03,197422,Christine SCHNEIDER,Germany,EPP,Christian Democratic Union
532157,1059654,2022-01-03,197515,Pernille WEISS,Denmark,EPP,Conservative People's Party
532158,1059654,2022-01-03,197720,Frances FITZGERALD,Ireland,EPP,Fine Gael
532159,1059654,2022-01-03,197422,Christine SCHNEIDER,Germany,EPP,Christian Democratic Union
532160,1059654,2022-01-03,197652,Angelika WINZIG,Austria,EPP,Austrian People's Party
532161,1062282,2022-01-03,197515,Pernille WEISS,Denmark,EPP,Conservative People's Party
532162,1062282,2022-01-03,197422,Christine SCHNEIDER,Germany,EPP,Christian Democratic Union
532163,1062282,2022-01-03,197652,Angelika WINZIG,Austria,EPP,Austrian People's Party
532164,1061081,2022-01-03,197576,Sylvie BRUNET,France,RE,The Republic Forward
532165,1061081,2022-01-03,197547,Irène TOLLERET,France,RE,The Republic Forward
532166,1061081,2022-01-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
532167,1063158,2022-01-03,197576,Sylvie BRUNET,France,RE,The Republic Forward
532168,1063158,2022-01-03,197547,Irène TOLLERET,France,RE,The Republic Forward
532169,1063158,2022-01-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
532170,1059644,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532171,1062811,2022-01-03,197541,Andżelika Anna MOŻDŻANOWSKA,Poland,ECR,Law and Justice
532172,1059139,2022-01-03,197515,Pernille WEISS,Denmark,EPP,Conservative People's Party
532173,1059139,2022-01-03,197720,Frances FITZGERALD,Ireland,EPP,Fine Gael
532174,1059139,2022-01-03,197422,Christine SCHNEIDER,Germany,EPP,Christian Democratic Union
532175,1059667,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532176,1062842,2022-01-03,197541,Andżelika Anna MOŻDŻANOWSKA,Poland,ECR,Law and Justice
532177,1059160,2022-01-03,197576,Sylvie BRUNET,France,RE,The Republic Forward
532178,1059160,2022-01-03,197547,Irène TOLLERET,France,RE,The Republic Forward
532179,1059160,2022-01-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
532180,1062864,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532181,1059190,2022-01-03,197515,Pernille WEISS,Denmark,EPP,Conservative People's Party
532182,1059190,2022-01-03,197652,Angelika WINZIG,Austria,EPP,Austrian People's Party
532183,1061105,2022-01-03,197515,Pernille WEISS,Denmark,EPP,Conservative People's Party
532184,1061105,2022-01-03,197720,Frances FITZGERALD,Ireland,EPP,Fine Gael
532185,1061105,2022-01-03,197422,Christine SCHNEIDER,Germany,EPP,Christian Democratic Union
532186,1061105,2022-01-03,197652,Angelika WINZIG,Austria,EPP,Austrian People's Party
532187,1063223,2022-01-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
532188,1062085,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532189,1060982,2022-01-03,197576,Sylvie BRUNET,France,RE,The Republic Forward
532190,1060982,2022-01-03,197547,Irène TOLLERET,France,RE,The Republic Forward
532191,1060982,2022-01-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
532192,1061136,2022-01-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
532193,1062103,2022-01-03,197576,Sylvie BRUNET,France,RE,The Republic Forward
532194,1062103,2022-01-03,197547,Irène TOLLERET,France,RE,The Republic Forward
532195,1062103,2022-01-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
532196,1060967,2022-01-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
532197,1059473,2022-01-03,197576,Sylvie BRUNET,France,RE,The Republic Forward
532198,1059473,2022-01-03,197547,Irène TOLLERET,France,RE,The Republic Forward
532199,1059473,2022-01-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
532200,1062493,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532201,1060913,2022-01-03,197576,Sylvie BRUNET,France,RE,The Republic Forward
532202,1060913,2022-01-03,197547,Irène TOLLERET,France,RE,The Republic Forward
532203,1060913,2022-01-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
532204,1059499,2022-01-03,197515,Pernille WEISS,Denmark,EPP,Conservative People's Party
532205,1059499,2022-01-03,197720,Frances FITZGERALD,Ireland,EPP,Fine Gael
532206,1059499,2022-01-03,197422,Christine SCHNEIDER,Germany,EPP,Christian Democratic Union
532207,1059499,2022-01-03,197652,Angelika WINZIG,Austria,EPP,Austrian People's Party
532208,1063146,2022-01-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
532209,1061008,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532210,1059678,2022-01-03,197576,Sylvie BRUNET,France,RE,The Republic Forward
532211,1059678,2022-01-03,197547,Irène TOLLERET,France,RE,The Republic Forward
532212,1059678,2022-01-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
532213,1063178,2022-01-03,197541,Andżelika Anna MOŻDŻANOWSKA,Poland,ECR,Law and Justice
532214,1059651,2022-01-03,197785,Eugenia RODRÍGUEZ PALOP,Spain,GUE/NGL,Podemos
532215,1059705,2022-01-03,197541,Andżelika Anna MOŻDŻANOWSKA,Poland,ECR,Law and Justice
532216,1063197,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532217,1059908,2022-01-03,197576,Sylvie BRUNET,France,RE,The Republic Forward
532218,1059908,2022-01-03,197547,Irène TOLLERET,France,RE,The Republic Forward
532219,1059908,2022-01-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
532220,1062855,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532221,1059842,2022-01-03,182995,Annika BRUNA,France,ID,National Rally
532222,1062903,2022-01-03,197399,Jessica STEGRUD,Sweden,ECR,Sweden Democrats
532223,1058601,2022-01-03,197576,Sylvie BRUNET,France,RE,The Republic Forward
532224,1058601,2022-01-03,197547,Irène TOLLERET,France,RE,The Republic Forward
532225,1058601,2022-01-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
532226,1059831,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532227,1058645,2022-01-03,197576,Sylvie BRUNET,France,RE,The Republic Forward
532228,1058645,2022-01-03,197547,Irène TOLLERET,France,RE,The Republic Forward
532229,1058645,2022-01-03,197868,Samira RAFAELA,Netherlands,RE,Democrats 66
532230,1062918,2022-01-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
532231,1058621,2022-01-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
532232,1061181,2022-01-03,197785,Eugenia RODRÍGUEZ PALOP,Spain,GUE/NGL,Podemos
532233,1063265,2022-01-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
532234,1061202,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532235,1062507,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532236,1058676,2022-01-03,197541,Andżelika Anna MOŻDŻANOWSKA,Poland,ECR,Law and Justice
532237,1061769,2022-01-03,197785,Eugenia RODRÍGUEZ PALOP,Spain,GUE/NGL,Podemos
532238,1062629,2022-01-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
532239,1062528,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
532240,1061023,2022-01-03,40599,Sirpa PIETIKÄINEN,Finland,EPP,National Coalition Party
532241,1058738,2022-01-03,197573,Kira Marie PETER-HANSEN,Denmark,Greens/EFA,Socialist People's Party
